"","x"
"1",202066
"2",969100
"3",706287
"4",-395523
"5",311754
"6",204111
"7",-250297
"8",558124
"9",140486
"10",-20526
"11",896362
"12",723107
"13",-981777
"14",-29992
"15",88560
"16",-486821
"17",-54602
"18",-663276
"19",51972
"20",711263
"21",202603
"22",580317
"23",-861803
"24",479908
"25",-434064
"26",218244
"27",-762864
"28",139344
"29",897872
"30",209603
"31",786579
"32",-951749
"33",694654
"34",447150
"35",-122293
"36",785419
"37",528032
"38",260948
"39",742744
"40",87615
"41",226025
"42",307867
"43",578860
"44",-498712
"45",-132477
"46",712520
"47",-650617
"48",-451895
"49",154911
"50",282425
"51",295763
"52",602471
"53",-942772
"54",-944908
"55",514434
"56",-64391
"57",-244353
"58",825141
"59",-69785
"60",-446781
"61",926944
"62",-405900
"63",690280
"64",30159
"65",555886
"66",925711
"67",-185239
"68",-273180
"69",-86343
"70",646287
"71",-552579
"72",936508
"73",-929878
"74",680766
"75",783941
"76",-677898
"77",441583
"78",29895
"79",-629213
"80",-698655
"81",-180572
"82",447878
"83",-654198
"84",790593
"85",243885
"86",-116719
"87",-62313
"88",761221
"89",-144148
"90",251247
"91",991683
"92",56499
"93",658946
"94",-571641
"95",-698541
"96",-900876
"97",145833
"98",125232
"99",-280048
"100",859756
