"","x"
"1",-480460
"2",108497
"3",699310
"4",853980
"5",-834313
"6",-750472
"7",597776
"8",-776262
"9",-324243
"10",-448438
"11",198178
"12",-187191
"13",-29521
"14",122363
"15",124330
"16",-698154
"17",-753346
"18",677279
"19",338889
"20",316044
"21",-980834
"22",-271748
"23",-574328
"24",941307
"25",413975
"26",-119069
"27",-148224
"28",-863187
"29",148837
"30",-927067
"31",488750
"32",-558147
"33",114815
"34",647301
"35",110814
"36",-14627
"37",93157
"38",-846413
"39",1816
"40",-2538
"41",-867720
"42",-911409
"43",-336880
"44",482788
"45",-272767
"46",440646
"47",93230
"48",854197
"49",-61410
"50",-85922
"51",-400024
"52",247134
"53",159664
"54",700591
"55",-820469
"56",168127
"57",-25717
"58",710007
"59",207839
"60",-905361
"61",-669881
"62",399718
"63",-675277
"64",-574684
"65",-288359
"66",465138
"67",570423
"68",-729837
"69",-317131
"70",874154
"71",-967973
"72",-766539
"73",143523
"74",-24920
"75",389689
"76",-233329
"77",372021
"78",-56251
"79",-352783
"80",-925409
"81",834491
"82",654592
"83",786525
"84",-463811
"85",908043
"86",-179106
"87",772530
"88",749881
"89",-218361
"90",85496
"91",-808651
"92",-562189
"93",443594
"94",419321
"95",953711
"96",-429830
"97",-620340
"98",-404886
"99",-420456
"100",-242388
