"","x"
"1",868425
"2",-461009
"3",988460
"4",-768769
"5",636583
"6",-493845
"7",93862
"8",-493028
"9",901001
"10",-812323
"11",-531516
"12",-506852
"13",-307228
"14",295406
"15",-54928
"16",-654706
"17",986289
"18",354869
"19",-840753
"20",-107673
"21",-611807
"22",-153891
"23",477359
"24",-549304
"25",-567557
"26",361085
"27",445895
"28",-730915
"29",255459
"30",270807
"31",24967
"32",-53992
"33",-221583
"34",-897849
"35",-668492
"36",-388928
"37",-502436
"38",594480
"39",190075
"40",-325917
"41",-65771
"42",295323
"43",634198
"44",-553207
"45",971743
"46",166507
"47",-333973
"48",172664
"49",-889806
"50",313462
"51",106187
"52",195033
"53",-757427
"54",-19622
"55",-974601
"56",205691
"57",786226
"58",-845175
"59",-789921
"60",316994
"61",-257413
"62",-958047
"63",322130
"64",520540
"65",895516
"66",265159
"67",835625
"68",-939631
"69",315300
"70",470591
"71",-472605
"72",-451054
"73",424519
"74",-170325
"75",-13987
"76",286284
"77",-896841
"78",941486
"79",677501
"80",-991183
"81",-162873
"82",-402092
"83",-925448
"84",-721084
"85",-978734
"86",820129
"87",38950
"88",454780
"89",936547
"90",488660
"91",-446359
"92",947312
"93",-180325
"94",-349336
"95",811524
"96",605281
"97",-361169
"98",-973288
"99",-151875
"100",950237
