"","x"
"1",414292
"2",-60288
"3",-144738
"4",976381
"5",-580485
"6",859535
"7",226276
"8",-702918
"9",974332
"10",422372
"11",891715
"12",37838
"13",267633
"14",275486
"15",330656
"16",-165384
"17",937954
"18",-80968
"19",884648
"20",-249131
"21",-332314
"22",605513
"23",-900110
"24",661592
"25",-57240
"26",-456196
"27",559783
"28",447429
"29",825667
"30",362735
"31",-242610
"32",-588797
"33",454405
"34",-606902
"35",-275393
"36",415340
"37",345010
"38",508936
"39",701949
"40",6836
"41",871624
"42",-701994
"43",438693
"44",-200770
"45",889311
"46",-375608
"47",-398315
"48",266548
"49",-205916
"50",881273
"51",47824
"52",-715746
"53",-559550
"54",155784
"55",282137
"56",630423
"57",-153626
"58",-533764
"59",891046
"60",-282927
"61",-152396
"62",-178053
"63",-693096
"64",-508098
"65",-765551
"66",-618642
"67",-160426
"68",-593082
"69",173373
"70",-823250
"71",245143
"72",883634
"73",678831
"74",-651473
"75",405347
"76",-162035
"77",-757934
"78",-594164
"79",-481763
"80",974094
"81",-317027
"82",258906
"83",-969824
"84",151315
"85",491824
"86",-611591
"87",-848319
"88",-68476
"89",151635
"90",-745882
"91",-358348
"92",-621483
"93",-922448
"94",-221027
"95",-553745
"96",-711338
"97",-71547
"98",-69551
"99",-68923
"100",-292651
