"","x"
"1",-10529
"2",490432
"3",-400318
"4",287625
"5",-313165
"6",556538
"7",-669468
"8",553242
"9",-409620
"10",982814
"11",64078
"12",-372159
"13",968909
"14",-847223
"15",-760869
"16",847583
"17",-564816
"18",492663
"19",-871339
"20",-499165
"21",482172
"22",712779
"23",-641429
"24",948635
"25",-482994
"26",715751
"27",-761228
"28",447296
"29",-155526
"30",614859
"31",205611
"32",644309
"33",651572
"34",431495
"35",654905
"36",-53125
"37",-617196
"38",-382327
"39",-173053
"40",630701
"41",650078
"42",-544625
"43",757625
"44",-105248
"45",-392887
"46",191882
"47",453985
"48",280067
"49",-875803
"50",702973
"51",781379
"52",730837
"53",176162
"54",664687
"55",302610
"56",-299258
"57",352689
"58",-598730
"59",-604230
"60",-684300
"61",-749702
"62",-227177
"63",-299616
"64",-294167
"65",-622817
"66",766069
"67",850540
"68",-533470
"69",971831
"70",-914682
"71",766721
"72",408990
"73",480725
"74",-292628
"75",90454
"76",-477828
"77",431772
"78",-391544
"79",-427923
"80",-527850
"81",432243
"82",-181973
"83",910476
"84",951600
"85",507855
"86",299371
"87",388068
"88",-119085
"89",908897
"90",700252
"91",-579829
"92",-582598
"93",150186
"94",-417030
"95",-546720
"96",-365636
"97",-416074
"98",475507
"99",-23261
"100",232826
