"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"1","NsiI.TP127922",4,54754163,0.000000156339450284736,0.184968509652301,124,0.477538259734697,0.61957161257389,0.00410140913876977,-0.43460273540515,0.00410140913876976,"124+36088im","PS_Y","GAPIT","GLM","CmN",14.2033352839193
"2","NsiI.TP352026",6,555824,0.00000054810308100395,0.0665692129930516,124,0.477538259734697,0.60563677033023,0.00718946811352881,-0.56967855739763,0.00718946811352881,"124+36088im","PS_Y","GAPIT","GLM","CmN",12.8098510595533
"3","PstI.TP116046",7,62490129,0.00000150859269217865,0.162908484950057,124,0.477538259734697,0.594636251617931,0.00946489362448947,-0.403886283414787,0.00946489362448948,"124+36088im","PS_Y","GAPIT","GLM","CmN",11.7097991883234
"4","PstI.TP320216",11,2535,0.0000017907186277072,0.338957692379466,124,0.477538259734697,0.592795302720874,0.00946489362448947,0.344150067751426,0.00946489362448948,"124+36088im","PS_Y","GAPIT","GLM","CmN",11.5257042986177
"5","NsiI.TP370880",3,68111215,0.00000181858891100485,0.0539436352794422,124,0.477538259734697,0.59262977312973,0.00946489362448947,-0.686194286550178,0.00946489362448948,"124+36088im","PS_Y","GAPIT","GLM","CmN",11.5091513395033
"6","NsiI.TP122100",11,10465,0.00000216472370766703,0.142081589582163,124,0.477538259734697,0.590765872537097,0.00946489362448947,0.341936022891388,0.00946489362448948,"124+36088im","PS_Y","GAPIT","GLM","CmN",11.32276128024
"7","NsiI.TP826891",11,19276,0.00000291478827242225,0.331908490479884,124,0.477538259734697,0.587598266901568,0.0109237936483893,-0.338717616869242,0.0109237936483893,"124+36088im","PS_Y","GAPIT","GLM","CmN",11.0060007166871
"8","PstI.TP1294713",10,4269426,0.00000426784287086165,0.164707011545534,124,0.477538259734697,0.583566111264981,0.0139953237342731,-0.361898281434987,0.0139953237342731,"124+36088im","PS_Y","GAPIT","GLM","CmN",10.6027851530284
"9","PstI.TP107240",8,62622087,0.00000723280839924171,0.0567991603142711,124,0.477538259734697,0.578039401367742,0.0210828328384119,0.690435495509439,0.0210828328384119,"124+36088im","PS_Y","GAPIT","GLM","CmN",10.0501141633045
"10","PstI.TP698973",11,4833,0.00000890221268483559,0.16564045542413,124,0.477538259734697,0.57588009907039,0.0218798472512947,0.347141351839635,0.0218798472512947,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.8341839335693
"11","PstI.TP1160897",10,17579080,0.00000917428984387594,0.169401471034815,124,0.477538259734697,0.575567849289885,0.0218798472512947,0.368217578495286,0.0218798472512947,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.8029589555188
"12","PstI.TP704102",3,72097083,0.0000125476751546768,0.0562657731730342,124,0.477538259734697,0.572331682771999,0.025392856057197,0.509419789681216,0.0253928560571969,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.4793423037302
"13","PstI.TP190549",7,57197488,0.0000125831794138736,0.100284219413746,124,0.477538259734697,0.572302577606524,0.025392856057197,0.475410587022552,0.0253928560571969,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.4764317871827
"14","NsiI.TP675510",11,17441,0.000015880779373045,0.0611186451793854,124,0.477538259734697,0.56991105029065,0.0297583118623187,-0.585243607823918,0.0297583118623188,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.23727905559531
"15","PstI.TP1188898",11,8399,0.0000180589102202473,0.294635236877378,124,0.477538259734697,0.568595430734502,0.0309420629593076,0.314666704086742,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",9.1057170999805
"16","PstI.TP1016686",11,7060,0.0000202583587588608,0.386302344759672,124,0.477538259734697,0.567422078844348,0.0309420629593076,0.338081218023699,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.9883819109651
"17","PstI.TP609962",5,53907385,0.0000222787965819454,0.155964764217203,124,0.477538259734697,0.566453666072794,0.0309420629593076,0.354233548879331,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.8915406338097
"18","NsiI.TP613708",11,16706,0.000025274407952654,0.181556863860851,124,0.477538259734697,0.565171611268295,0.0309420629593076,-0.534737076878424,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.7633351533598
"19","PstI.TP1212724",1,72123046,0.0000277973589483517,0.0706874160521,124,0.477538259734697,0.564206977523404,0.0309420629593076,0.47305816564091,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.6668717788707
"20","NsiI.TP415654",1,75354964,0.0000282786909132555,0.0703887346028781,124,0.477538259734697,0.564033141271581,0.0309420629593076,0.496957119060861,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.6494881536884
