"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","PVE"
"1","GFSSContig19414_135","CmDW",31,7,14457079,0.0000000588394389607004,0.200241924446067,0.470621677729652,0.000257265640282502,"124+36088im","PS_N","FarmCPU","FarmCPU","17.5516717848713"
"2","NsiI.TP122100","CmDW",34,11,10465,0.00000000540279688282657,0.13244964990062,0.493569390853997,0.0000472456578080241,"124+36088im","PS_N","FarmCPU","FarmCPU","2.55824282580312"
"3","NsiI.TP127922","CmDW",29,4,54754163,0.00000000000679401540167809,0.178547981653753,-0.57928293101058,0.000000178234200047623,"124+36088im","PS_N","FarmCPU","FarmCPU","2.50601433413257"
"4","NsiI.TP127922","CmDW_g",40,4,54754163,0.0000000158148025741185,0.178547981653753,-0.427580569704699,0.000138295176909808,"124+36088im","PS_N","FarmCPU","FarmCPU","1.98391680786651"
"5","NsiI.TP127922","Cml_cm",72,4,54754163,0.000000280974563824063,0.178547981653753,-11.5303602769095,0.00290941385735842,"124+36088im","PS_N","FarmCPU","FarmCPU","0.106027992195928"
"6","NsiI.TP127922","CmN",62,4,54754163,0.000000053985609806615,0.178547981653753,-0.185565255541009,0.000283251697533348,"124+36088im","PS_N","FarmCPU","FarmCPU","4.03091904029897"
"7","NsiI.TP128678","SDW_kg",216,3,69000501,0.00000165575014592082,0.408573677632225,0.334229487817233,0.00868738986561736,"124+36088im","PS_N","FarmCPU","FarmCPU","0.956940448488637"
"8","NsiI.TP128678","Yld",228,3,69000501,0.000000510461016903716,0.408573677632225,0.696627651741769,0.00446381143915069,"124+36088im","PS_N","FarmCPU","FarmCPU","1.32857310429877"
"9","NsiI.TP128678","Yld_1",232,3,69000501,0.000000510461016860006,0.408573677632225,0.586139121716546,0.00446381143876846,"124+36088im","PS_N","FarmCPU","FarmCPU","1.32857310427728"
"10","NsiI.TP128678","Yld_kg",237,3,69000501,0.000000045033057025721,0.408573677632225,0.728954571972628,0.000590698609006382,"124+36088im","PS_N","FarmCPU","FarmCPU","1.87229981576048"
"11","NsiI.TP130539","FNMain",106,2,59242986,0.000000649123185095483,0.0568585726766399,1.71080257104224,0.00340581952755898,"124+36088im","PS_N","FarmCPU","FarmCPU","1.64656157215665"
"12","NsiI.TP131578","Lg",196,4,62909243,0.00000729724422602941,0.445091136441832,-0.0272806880562049,0.0239294881282069,"124+36088im","PS_N","FarmCPU","FarmCPU","0.277970200957619"
"13","NsiI.TP159785","AIL",5,1,11512824,0.00000169085462458333,0.209325439619423,0.315336745388433,0.0221789401106595,"124+36088im","PS_N","FarmCPU","FarmCPU","0.00813872746380694"
"14","NsiI.TP165765","CmD_BI_mm",50,11,10960,0.000000783019016562492,0.110101981067593,0.161136258100176,0.00875859582892905,"124+36088im","PS_N","FarmCPU","FarmCPU","1.39265328933653"
"15","NsiI.TP167296","GS",158,8,58557615,0.000000262333064190634,0.175440495834428,0.0881669815927921,0.000688204560597709,"124+36088im","PS_N","FarmCPU","FarmCPU","0.306741512733322"
