"","Name","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name"
"1","NsiI.TP501314",8,44674673,0.00000628150394948397,0.344315314388227,0.000059559832888729,0.0411972436526906,"124+36088im","PS_N","FarmCPU","FarmCPU","ADD"
"2","NsiI.TP199584",9,58950916,0.00000355359620934551,0.431365999070019,-0.0000578392454820246,0.0310750143186567,"124+36088im","PS_N","FarmCPU","FarmCPU","ADD"
"3","PstI.TP1143547",10,1288364,0.000000433931906494806,0.1991541954771,-0.0000817410878972684,0.00569188481749237,"124+36088im","PS_N","FarmCPU","FarmCPU","ADD"
"4","NsiI.TP251198",11,11959,0.000000000000000360424834303178,0.170627995649363,-0.000225928746859832,0.00000000000945538510310957,"124+36088im","PS_N","FarmCPU","FarmCPU","ADD"
"5","NsiI.TP159785",1,11512824,0.00000169085462458333,0.209325439619423,0.315336745388433,0.0221789401106595,"124+36088im","PS_N","FarmCPU","FarmCPU","AIL"
"6","PstI.TP1139226",10,5138549,0.0000000232528234564683,0.125528824132276,0.587284925287203,0.000610014570556989,"124+36088im","PS_N","FarmCPU","FarmCPU","AIL"
"7","PstI.TP1016611",1,12066190,0.0000019669261527714,0.337082887317421,-0.801787271132839,0.010320068138361,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"8","NsiI.TP224601",1,58622993,0.00000310222259161574,0.14597321543517,1.20207357981496,0.0135639512447412,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"9","PstI.TP770722",1,66347924,0.0000149651249348614,0.147659715932016,-0.846352933739446,0.0436216763934615,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"10","PstI.TP202435",3,7414396,0.00000068386402401892,0.0666208494971506,-2.07197409159545,0.00598016293537078,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"11","NsiI.TP563229",3,13084031,0.00000173951307068422,0.193163963753988,0.979608781328057,0.010320068138361,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"12","PstI.TP697156",4,9915378,0.00000540873525772873,0.0658816499655325,1.05457428805973,0.0177365950939069,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"13","PstI.TP161086",8,61954442,0.00000379523113005498,0.197718630117471,-1.0567784170616,0.0142234419236946,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"14","PstI.TP976305",9,57621267,0.00000000000000305978222279793,0.119135910809302,2.32483472585112,0.0000000000401351634164405,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"15","NsiI.TP330963",10,56296082,0.0000177431704837273,0.0698704147117277,-1.30494413846843,0.0465474334470102,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"16","PstI.TP636384",11,4471,0.000000000000000000971046465111761,0.115612799127894,-2.68523143211867,0.0000000000000254744329657419,"124+36088im","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"17","NsiI.TP361622",1,69534233,0.00000634259743207903,0.219285759523087,0.212115867294644,0.0207989626291452,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
