"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"1","PstI.TP1133587",10,42973263,0.000000000337270512710879,0.058171140934787,124,0.522840106046547,0.719526726036458,0.0000088479546304572,1.2646987751794,0.0000088479546304572,"124+36088im","PS_Y","GAPIT","CMLM","GS",19.6686619989911
"2","PstI.TP1264070",2,7827620,0.000000000717293545272269,0.08212589006936,124,0.522840106046547,0.710889954415233,0.00000940873943333635,-1.01314157554593,0.00000940873943333635,"124+36088im","PS_Y","GAPIT","CMLM","GS",18.8049848368686
"3","PstI.TP65187",6,51685319,0.00000000765180704881874,0.0973658112203374,124,0.522840106046547,0.684562525909995,0.0000669125020395703,-1.3193122523182,0.0000669125020395703,"124+36088im","PS_Y","GAPIT","CMLM","GS",16.1722419863448
"4","PstI.TP1031387",11,7167,0.0000000513787220427181,0.315423150882954,124,0.522840106046547,0.664210611633768,0.000336967348517166,2.29832503443318,0.000336967348517167,"124+36088im","PS_Y","GAPIT","CMLM","GS",14.1370505587221
"5","NsiI.TP353473",11,13012,0.0000000715453776012074,0.0631381281853496,124,0.522840106046547,0.66074597782192,0.000375384287198015,0.747241353538016,0.000375384287198015,"124+36088im","PS_Y","GAPIT","CMLM","GS",13.7905871775373
"6","PstI.TP716571",11,4957,0.000000282875846762606,0.095962406601192,124,0.522840106046547,0.64659378289868,0.00116789926016515,-1.58387029154955,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.3753676852133
"7","NsiI.TP741538",8,59582552,0.000000330477443391067,0.338314505999796,124,0.522840106046547,0.645016074172993,0.00116789926016515,-0.556770078806763,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.2175968126446
"8","PstI.TP914537",10,57752412,0.000000356148283956743,0.0675956287517027,124,0.522840106046547,0.644258904045834,0.00116789926016515,-0.705931374256224,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.1418797999287
"9","NsiI.TP149692",11,10781,0.000000510919250764382,0.0903075859891929,124,0.522840106046547,0.640621883585055,0.00148927284717253,0.787936548661922,0.00148927284717253,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.7781777538508
"10","PstI.TP753228",10,47979677,0.000000983991228230211,0.0688036076612671,124,0.522840106046547,0.634081631955494,0.00238030046571589,-0.704957342186108,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.1241525908947
"11","NsiI.TP747164",11,18278,0.00000106042733415346,0.0877481439645665,124,0.522840106046547,0.633340453149176,0.00238030046571589,0.707351035428814,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.0500347102629
"12","PstI.TP735061",1,72976269,0.00000109107406054472,0.23770539046379,124,0.522840106046547,0.633058476748271,0.00238030046571589,0.557728617875506,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.0218370701724
"13","NsiI.TP62363",11,9869,0.00000122009435624001,0.319651203779588,124,0.522840106046547,0.631953836692682,0.00238030046571589,0.604239672568995,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.9113730646135
"14","PstI.TP780329",11,5383,0.00000128591749667148,0.116059694070972,124,0.522840106046547,0.631435357365033,0.00238030046571589,0.704877370368938,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.8595251318486
"15","NsiI.TP748486",7,63746564,0.00000147483916493658,0.0947245679319265,124,0.522840106046547,0.630085305829349,0.00238030046571589,1.06493286198871,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.7245199782802
"16","NsiI.TP251198",11,11959,0.0000015417950100932,0.169181035461555,124,0.522840106046547,0.629648816729394,0.00238030046571589,1.19840783135479,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.6808710682847
"17","NsiI.TP693777",1,69767711,0.00000154246809168141,0.384042750046127,124,0.522840106046547,0.629644532717993,0.00238030046571589,-1.74780117281087,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.6804426671446
"18","NsiI.TP776707",2,77323616,0.0000021366669947158,0.0787961206293816,124,0.522840106046547,0.626452780962954,0.00311407344107636,-1.12717283539143,0.00311407344107635,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.3612674916407
"19","PstI.TP471886",11,3583,0.00000227567195834372,0.0930918865772764,124,0.522840106046547,0.625837831193431,0.00314210411343101,0.559367488725009,0.00314210411343101,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.2997725146884
"20","PstI.TP1078462",11,7529,0.00000243517636993484,0.393583505237841,124,0.522840106046547,0.625177746694682,0.00319422084444352,-1.56933621844516,0.00319422084444353,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.2337640648135
"21","PstI.TP1266759",3,52149252,0.00000257526242603523,0.0573034765556845,124,0.522840106046547,0.624633429533176,0.00321711592783849,0.655825752762596,0.00321711592783849,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.1793323486629
"22","NsiI.TP90756",11,10130,0.00000310559658042476,0.0829971390827015,124,0.522840106046547,0.622815579339682,0.00360787217639318,0.942362744802325,0.00360787217639318,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.99754732931351
"23","PstI.TP504045",11,3810,0.00000316311123187631,0.202405561821558,124,0.522840106046547,0.622637794183564,0.00360787217639318,1.21433024544483,0.00360787217639318,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.97976881370171
"24","NsiI.TP511109",10,58780153,0.00000401861737610865,0.0873448351272479,124,0.522840106046547,0.620324782470027,0.00439268367686809,-0.600175693787298,0.0043926836768681,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.748467642348
"25","NsiI.TP713435",11,17915,0.00000431782911788699,0.0802843948361387,124,0.522840106046547,0.619633058032814,0.00453095716314589,-0.926536537753802,0.00453095716314589,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.6792951986267
"26","NsiI.TP336234",11,12829,0.00000571672394355307,0.122775345466312,124,0.522840106046547,0.616939636459651,0.00543962888118511,-0.751532673289374,0.00543962888118511,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.4099530413104
"27","PstI.TP761602",3,3266703,0.0000057443611256909,0.0526227347837296,124,0.522840106046547,0.616893485807697,0.00543962888118511,0.715995941549268,0.00543962888118511,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.405337976115
"28","PstI.TP523812",5,18073563,0.00000580580958577354,0.0826702473101831,124,0.522840106046547,0.616791681186199,0.00543962888118511,-0.688271155103972,0.00543962888118511,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.3951575139652
"29","PstI.TP838063",11,5808,0.00000605948674416397,0.0648828413952113,124,0.522840106046547,0.616382726796614,0.00548153707746199,-0.627896335195335,0.00548153707746199,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.3542620750067
"30","PstI.TP958383",11,6682,0.00000726394206739486,0.127619887705361,124,0.522840106046547,0.614653066000779,0.00618991129284542,0.618069157813355,0.00618991129284542,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.1812959954232
"31","PstI.TP1243013",11,8761,0.00000731444880987299,0.293966274059732,124,0.522840106046547,0.614587087588978,0.00618991129284542,-0.944194795402583,0.00618991129284542,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.1746981542431
"32","NsiI.TP557979",3,7233715,0.00000831884885979021,0.0887096774193549,124,0.522840106046547,0.613363597255986,0.00681989628086676,0.473906946137531,0.00681989628086676,"124+36088im","PS_Y","GAPIT","CMLM","GS",9.0523491209439
"33","NsiI.TP459094",6,54308423,0.00000887401575377841,0.495231435975434,124,0.522840106046547,0.612750540929958,0.00695340320756736,-0.496719375800842,0.00695340320756735,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.9910434883411
"34","PstI.TP512725",11,3867,0.000009011805636094,0.0596575191162288,124,0.522840106046547,0.612604447940388,0.00695340320756736,0.719239977101737,0.00695340320756735,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.97643418938411
"35","PstI.TP643786",7,854183,0.0000107492762571456,0.0587437694727918,124,0.522840106046547,0.610936144220217,0.00786198490281467,-0.983347726055159,0.00786198490281465,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.80960381736701
"36","NsiI.TP43574",11,9672,0.0000110634312682712,0.0793010894774441,124,0.522840106046547,0.610664135297597,0.00786198490281467,-0.664096055774883,0.00786198490281465,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.782402925105
"37","NsiI.TP210231",11,11469,0.0000110884135627103,0.0845343785859366,124,0.522840106046547,0.610642846962133,0.00786198490281467,-0.854951041930583,0.00786198490281465,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.7802740915586
"38","NsiI.TP423901",1,14565704,0.0000154657889553112,0.266790284591302,124,0.522840106046547,0.607513120370589,0.0106770923014114,0.41462128292587,0.0106770923014114,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.46730143240421
"39","NsiI.TP507399",11,15357,0.0000159249791336817,0.0771605785269654,124,0.522840106046547,0.607238958918961,0.0107122026305899,-1.41118177629048,0.0107122026305899,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.4398852872414
"40","PstI.TP125880",11,1053,0.000017968249251749,0.0671518763138946,124,0.522840106046547,0.606109590500934,0.011767981181051,0.689460379880087,0.0117679811810511,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.32694844543871
"41","NsiI.TP465897",11,14689,0.0000183916760091139,0.226459788270373,124,0.522840106046547,0.605892020284117,0.011767981181051,0.905231163799654,0.0117679811810511,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.30519142375701
"42","NsiI.TP60820",11,9853,0.0000192671260265471,0.0806189487514383,124,0.522840106046547,0.605457963291353,0.012034613909058,0.657608062383237,0.012034613909058,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.26178572448061
"43","NsiI.TP224099",9,3423764,0.000021020178477959,0.125942195765186,124,0.522840106046547,0.604646279948528,0.0126837541811153,0.965240128537718,0.0126837541811153,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.18061739019811
"44","PstI.TP376573",11,2949,0.0000212733545768496,0.172710274926487,124,0.522840106046547,0.604534804378679,0.0126837541811153,-0.352344177328571,0.0126837541811153,"124+36088im","PS_Y","GAPIT","CMLM","GS",8.16946983321321
