"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"1","NsiI.TP388861",4,53760575,"HW_50","mrMLM",-0.0158,3.6393,15.5876,0.1974,"A",0.0004,0.0014,"mrMLMM","F116+36088im","PS_Y",0.0000424424064429568
"2","PstI.TP133136",5,65324990,"HW_50","mrMLM",0.0195,6.641,10.2796,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000320110559153497
"3","PstI.TP532426",7,64966356,"HW_50","mrMLM",0.0091,3.24,4.9328,0.4561,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000112150186466686
"4","PstI.TP1107958",9,50254652,"HW_50","mrMLM",0.038,3.4511,13.9858,0.0175,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000670501880162841
"5","PstI.TP1282314",9,15059279,"HW_50","mrMLM",0.0115,3.324,9.3806,0.1623,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000913692373681454
"6","PstI.TP133136",5,65324990,"HW_50","FASTmrMLM",0.0146,6.2681,5.7125,0.194,"C",0.0004,0.0014,"mrMLMM","F116+36088im","PS_Y",0.0000000776247116628691
"7","PstI.TP1282314",9,15059279,"HW_50","FASTmrMLM",0.0111,5.2454,8.668,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000888791719884821
"8","PstI.TP896950",11,6252,"HW_50","FASTmrMLM",-0.0069,3.2415,3.3372,0.2198,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00011173777007617
"9","PstI.TP325669",4,67124681,"HW_50","pLARmEB",0.0116,6.7327,7.0758,0.3233,"A",0.0003,0.0014,"mrMLMM","F116+36088im","PS_Y",0.0000000257513499041031
"10","PstI.TP133136",5,65324990,"HW_50","pLARmEB",0.012,4.5565,3.571,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000463446919736288
"11","PstI.TP187918",11,1532,"HW_50","pLARmEB",0.0103,3.804,6.1542,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000284708215979929
"12","PstI.TP874146",11,6098,"HW_50","pLARmEB",0.018,3.1529,8.6312,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000138739460060306
"13","PstI.TP1020545",11,7078,"HW_50","pLARmEB",0.007,3.0138,2.8057,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00019502936197623
