"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","PVE"
"1","NsiI.TP232571","Lg",7569,4,62107475,0.0000451888613884112,0.0613207547169812,96,NA,NA,0.0156317608775674,NA,0.0156317608775674,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.266341411806819"
"2","NsiI.TP241831","CmN",7557,8,47079973,0.000135562284397838,0.122641509433962,96,NA,NA,0.0414971215017825,NA,0.0414971215017826,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","4.55050908307719"
"3","NsiI.TP331619","Lg",7578,7,62232374,0.00019358786036343,0.108490566037736,96,NA,NA,0.0318984338506899,NA,0.0318984338506898,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","1.6443527217372"
"4","NsiI.TP336547","Lg",7579,6,58396661,0.00019683244118393,0.0990566037735849,96,NA,NA,0.0318984338506899,NA,0.0318984338506898,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","6.5306727245467"
"5","NsiI.TP346008","CmDW",7545,4,67938088,0.0000164697279821256,0.113207547169811,96,NA,NA,0.0226870502953781,NA,0.022687050295378,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","20.0835272103383"
"6","NsiI.TP356679","Lg",7576,2,59751156,0.000149785061243928,0.10377358490566,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.00146288434367717"
"7","NsiI.TP56324","Lg",7565,9,53718156,0.0000137190152803725,0.113207547169811,96,NA,NA,0.0102309322895309,NA,0.0102309322895309,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","3.14667264140609"
"8","NsiI.TP609151","Lg",7568,5,68282440,0.0000257866872983042,0.089622641509434,96,NA,NA,0.011840387251138,NA,0.011840387251138,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","6.9177123318578"
"9","NsiI.TP7588","Lg",7566,2,74438360,0.000014854348151769,0.0943396226415094,96,NA,NA,0.0102309322895309,NA,0.0102309322895309,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.00206517723087187"
"10","NsiI.TP795133","GS",7562,5,10655601,0.0000109592311452889,0.0518867924528302,96,NA,NA,0.0150963409026355,NA,0.0150963409026355,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","5.83221206096642"
"11","PstI.TP1053336","Lg",7575,1,3955998,0.00014219487601066,0.0849056603773585,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.272756049258275"
