"","X","SNP","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name"
"259",259,"PstI.TP150197",1,30650620,0.00000553287859474253,0.0613207547169812,1.28123561744602,0.00254051342141928,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"260",260,"PstI.TP969142",1,70558586,0.000000351556877412256,0.169811320754717,-1.20399199157502,0.000322846399090255,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"261",261,"PstI.TP503391",2,73095782,0.00000095277921311742,0.325471698113208,-0.881861324933004,0.000524981346427698,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"262",262,"PstI.TP1040729",4,54844080,0.000155190468918951,0.216981132075472,0.863066592453652,0.0403070504291229,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"263",263,"PstI.TP774963",6,1911989,0.000000618937242317423,0.169811320754717,-1.24484885432589,0.000426293025646125,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"264",264,"PstI.TP18079",6,50586809,0.0000236604350369184,0.0990566037735849,1.18698808610631,0.00814806231583877,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"265",265,"PstI.TP788586",6,57442567,0.0000175449128189966,0.358490566037736,-1.18201015078566,0.00690517640233366,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"266",266,"NsiI.TP765320",7,5038310,0.000000000000893034696077918,0.113207547169811,2.09134830078692,0.00000000246031058769466,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"267",267,"PstI.TP548121",9,58253929,0.000160935591550037,0.0613207547169812,1.28270489645875,0.0403070504291229,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"268",268,"PstI.TP65527",10,60139620,0.000000337668765096384,0.235849056603774,1.14141048417535,0.000322846399090255,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
"269",269,"PstI.TP158908",11,1303,0.0000297551620210207,0.117924528301887,-1.13873329858847,0.00910838570754578,"C106+4202","PS_N","FarmCPU","FarmCPU","Bcirc_cm"
